Raw.file,Experiment,Fractions,Isobaric.set
LCMS_M_Roblek_2_-_TMT1_-_Frac1,TMT1,2,1
LCMS_M_Roblek_2_-_TMT1_-_Frac2,TMT1,3,1
LCMS_M_Roblek_2_-_TMT1_-_Frac3,TMT1,4,1
LCMS_M_Roblek_2_-_TMT1_-_Frac4,TMT1,5,1
LCMS_M_Roblek_2_-_TMT1_-_Frac5,TMT1,6,1
LCMS_M_Roblek_2_-_TMT1_-_Frac6,TMT1,7,1
LCMS_M_Roblek_2_-_TMT1_-_Frac7,TMT1,8,1
LCMS_M_Roblek_2_-_TMT1_-_Frac8,TMT1,9,1
LCMS_M_Roblek_2_-_TMT1_-_Phospho,TMT1,1,1
LCMS_M_Roblek_2_-_TMT2_-_Frac1,TMT2,2,2
LCMS_M_Roblek_2_-_TMT2_-_Frac2,TMT2,3,2
LCMS_M_Roblek_2_-_TMT2_-_Frac3,TMT2,4,2
LCMS_M_Roblek_2_-_TMT2_-_Frac4,TMT2,5,2
LCMS_M_Roblek_2_-_TMT2_-_Frac5,TMT2,6,2
LCMS_M_Roblek_2_-_TMT2_-_Frac6,TMT2,7,2
LCMS_M_Roblek_2_-_TMT2_-_Frac7,TMT2,8,2
LCMS_M_Roblek_2_-_TMT2_-_Frac8,TMT2,9,2
LCMS_M_Roblek_2_-_TMT2_-_Phospho,TMT2,1,2
